FOODG,FEEDG,OTHERAG,RESOURCE,CONSTRUCT,COWS,FOODMFG,INTERMED,FINALMFG,SERVICES,VALADD
5192.270,10.376,9.206,67.071,171.567,3098.868,32959.806,241.178,221.096,6621.753,67433.809
5.503,8122.971,22.569,160.849,409.607,242666.214,32998.797,578.874,528.303,15327.966,93282.346
8.911,2665.170,15022.278,1069.184,1094.426,278.064,126816.495,5293.691,48000.979,29507.458,217307.345
11058.366,33261.514,22376.086,1608606.011,193431.637,11561.902,44349.841,328086.882,111307.838,1182309.024,507788.926
927.000,3805.000,3687.000,52901.000,4518.000,7109.000,5081.000,54090.000,32168.000,701832.000,3521793.000
1828.320,11124.340,2864.119,311.497,146.106,163596.715,557281.812,1341.247,1743.756,20024.762,43064.330
17.499,94.352,49.496,2193.996,256.701,116596.800,482382.342,12598.577,10957.177,452060.338,1696750.719
8921.537,47210.092,30317.526,129333.474,1009579.809,11925.888,219530.746,2257681.720,1120084.317,517009.053,1729345.837
958.265,3673.509,9756.187,25773.982,239366.936,4185.948,103070.988,292916.308,1906202.492,819689.384,4035469.010
23390.328,88567.674,92691.532,635879.967,878859.211,133472.603,458772.176,1389641.547,1218327.026,6815858.391,2.040246E+7
63719.000,195569.000,270268.001,1597840.996,2060076.999,108835.004,710713.994,2738469.975,2991522.026,2.157768E+7,0
